,SnomedCTConceptId,medcodeid,Observations,OrigReadCode,CleansedReadCode,Term.x,SnomedDescriptionId,Release,EmisCodeCategoryId,Term.y,Disease,Otherinstructions,origin,Comments
3,111552007,292475010,5000,C100z,C100z00,Diabetes mellitus NOS with no mention of complication,178796018,NA,32,"Diab mell: [adult ons, no ment comp][mat onset][non-ins dep]",Diabetes Type Two,,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2
4,111552007,746791000006111,500,C108A,C108A00,Insulin-dependent diabetes without complication,178796018,NA,32,"Diab mell: [adult ons, no ment comp][mat onset][non-ins dep]",Diabetes Type Two,,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2
5,111552007,292466013,20000,C100,C100.00,Diabetes mellitus without complication,178796018,NA,32,"Diab mell: [adult ons, no ment comp][mat onset][non-ins dep]",Diabetes Type Two,,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2
6,111552007,457327017,300,C10EA-2,C10EA12,Insulin-dependent diabetes without complication,178796018,NA,32,"Diab mell: [adult ons, no ment comp][mat onset][non-ins dep]",Diabetes Type Two,,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2
7,112991000000101,189711000000119,5,C10M0,C10M000,Lipoatrophic diabetes mellitus without complication,189711000000119,NA,32,Lipoatrophic diabetes mellitus without complication (disorder),DiabetesTypeTwo,Q code group Type 2 diabetes,['Manchester'],edh_t2dia_medcoideid.csv
8,127012008,967701000006116,100,C10M,C10M.00,Lipoatrophic diabetes mellitus,300015,NA,32,Lipoatrophic diabetes (disorder),DiabetesTypeTwo,Q code group Type 2 diabetes,['Manchester'],edh_t2dia_medcoideid.csv
9,127012008,4392141000006116,10,^ESCTLI439214,NA,Lipoatrophic diabetes,300015,NA,32,Lipoatrophic diabetes (disorder),DiabetesTypeTwo,Q code group Type 2 diabetes,['Manchester'],edh_t2dia_medcoideid.csv
10,140381000119104,8044171000006110,2,^ESCTNE804417,NA,Neuropathic toe ulcer due to type 2 diabetes mellitus,3013650011,NA,32,Neuropathic toe ulcer due to type 2 diabetes mellitus (disorder),Diabetes,,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
11,140381000119104,14095251000006116,40,^ESCT1409525,NA,Neuropathic ulcer of toe due to type 2 diabetes mellitus,3789742015,NA,32,Neuropathic toe ulcer due to type 2 diabetes mellitus (disorder),Diabetes,,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
12,140391000119101,8044181000006113,3,^ESCTUL804418,NA,Ulcer of toe due to type 2 diabetes mellitus,3013112016,NA,31,Ulcer of toe due to type 2 diabetes mellitus (disorder),Diabetes,,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
13,140521000119107,8044221000006116,3,^ESCTIS804422,NA,Ischaemic foot ulcer due to type 2 diabetes mellitus,3013655018,NA,31,Ischemic foot ulcer due to type 2 diabetes mellitus (disorder),Diabetes,,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
14,1481000119100,7968751000006116,20,^ESCTDI796875,NA,Diabetes mellitus type 2 without retinopathy,3013049012,NA,32,Diabetes mellitus type 2 without retinopathy,Diabetes Type Two,,['Manchester'],diabetes-type-ii.snomed.txt
15,1491000119102,7968821000006118,2,^ESCTDI796882,NA,Diabetic vitreous haemorrhage associated with type II diabetes mellitus,2967546017,NA,31,Diabetic vitreous haemorrhage associated with type II diabetes mellitus,Diabetes,,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
16,1511000119107,7968951000006118,1,^ESCTDI796895,NA,Diabetic peripheral neuropathy associated with type II diabetes mellitus,2967619016,NA,31,Diabetic peripheral neuropathy associated with type II diabetes mellitus,Diabetes,,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
17,1511000119107,12370381000006111,1,^ESCT1237038,NA,Peripheral neuropathy with type 2 diabetes,3695522017,NA,31,Diabetic peripheral neuropathy associated with type II diabetes mellitus,Diabetes,,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
18,157141000119108,8048421000006113,200,^ESCTPR804842,NA,Proteinuria due to type 2 diabetes mellitus,3013070018,NA,32,Proteinuria due to type 2 diabetes mellitus,Diabetes,,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
20,190331003,292483016,90,C1021,C102100,"Diabetes mellitus, adult onset, with hyperosmolar coma",292483016,NA,32,"Diabetes mellitus, adult onset, with hyperosmolar coma",Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
21,190331003,4758011000006112,4,^ESCTTY475801,NA,Type 2 diabetes mellitus with hyperosmolar coma,2967818010,NA,32,"Diabetes mellitus, adult onset, with hyperosmolar coma",Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
22,190388001,292577016,3000,C10F3,C10F300,Type 2 diabetes mellitus with multiple complications,292577016,NA,32,Type II diabetes mellitus with multiple complications,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
24,190388001,280581000006118,300,C1093,C109300,Non-insulin-dependent diabetes mellitus with multiple complications,292578014,NA,32,Type II diabetes mellitus with multiple complications,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
26,190388001,14071211000006113,20,^ESCT1407121,NA,Multiple complications due to type 2 diabetes mellitus,3793304018,NA,32,Type II diabetes mellitus with multiple complications,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
28,190388001,84541000006111,200,C1093-2,C109312,Type 2 diabetes mellitus with multiple complications,292577016,NA,32,Type II diabetes mellitus with multiple complications,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
30,190388001,292576013,30,C10F3-1,C10F311,Type II diabetes mellitus with multiple complications,292576013,NA,32,Type II diabetes mellitus with multiple complications,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
31,190388001,292576013,30,C10F3-1,C10F311,Type II diabetes mellitus with multiple complications,292576013,NA,32,Type 2 diabetes mellitus with multiple complications,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
32,190388001,84911000006119,8,C1093-1,C109311,Type II diabetes mellitus with multiple complications,292576013,NA,32,Type II diabetes mellitus with multiple complications,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
34,190389009,85001000006117,60,C1094-1,C109411,Type II diabetes mellitus with ulcer,292581016,NA,32,Type II diabetes mellitus with ulcer,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
36,190389009,292581016,30,C10F4-1,C10F411,Type II diabetes mellitus with ulcer,292581016,NA,32,Type II diabetes mellitus with ulcer,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
38,190389009,292579018,1000,C10F4,C10F400,Type 2 diabetes mellitus with ulcer,292579018,NA,32,Type II diabetes mellitus with ulcer,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
40,190389009,84631000006119,90,C1094-2,C109412,Type 2 diabetes mellitus with ulcer,292579018,NA,32,Type II diabetes mellitus with ulcer,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
42,190389009,280551000006114,300,C1094,C109400,Non-insulin-dependent diabetes mellitus with ulcer,292580015,NA,32,Type II diabetes mellitus with ulcer,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
46,199230006,4796321000006113,100,^ESCTPR479632,NA,Pre-existing type 2 diabetes mellitus,2967812011,NA,32,"Pre-existing diabetes mellitus, non-insulin-dependent",Diabetes Type Two,,['Lauren_codelist'],snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
47,199230006,306113018,200,L1806,L180600,"Pre-existing diabetes mellitus, non-insulin-dependent",306113018,NA,32,"Pre-existing diabetes mellitus, non-insulin-dependent",Diabetes Type Two,,['Lauren_codelist'],snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
48,237599002,914391000006116,700000,C10FJ,C10FJ00,Insulin treated Type 2 diabetes mellitus,2967820013,NA,32,Insulin treated Type II diabetes mellitus,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
51,237599002,841351000006110,2000,C109J-2,C109J12,Insulin treated Type II diabetes mellitus,1223147012,NA,32,Insulin treated Type II diabetes mellitus,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
54,237599002,5109461000006115,4,^ESCTDI510946,NA,Diabetes type 2 on insulin,3037103012,NA,32,Insulin treated Type II diabetes mellitus,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
57,237599002,1223148019,1000,C109J-1,C109J11,Insulin treated non-insulin dependent diabetes mellitus,1223148019,NA,32,Insulin treated Type II diabetes mellitus,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
60,237599002,1223147012,2000,C10FJ-1,C10FJ11,Insulin treated Type II diabetes mellitus,1223147012,NA,32,Insulin treated Type II diabetes mellitus,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
63,237599002,840951000006119,70000,C109J,C109J00,Insulin treated Type 2 diabetes mellitus,2967820013,NA,32,Insulin treated Type II diabetes mellitus,Diabetes Type Two,,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesSplitIntoType1or2 AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesSplitIntoType1or2
66,237604008,5109621000006112,100,^ESCTMO510962,NA,MODY - Maturity onset diabetes glucokinase-related,356087019,NA,32,Diabetes mellitus autosomal dominant type II (disorder),Diabetes Type Two,,['Manchester'],diabetes-type-ii.snomed.txt
67,237604008,840971000006112,800,C10D,C10D.00,Diabetes mellitus autosomal dominant type II,356082013,NA,32,Diabetes mellitus autosomal dominant type II (disorder),Diabetes Type Two,,['Manchester'],diabetes-type-ii.snomed.txt
68,237604008,5109611000006116,900,^ESCTMO510961,NA,MODY - Maturity onset diabetes in youth type 2,356086011,NA,32,Diabetes mellitus autosomal dominant type II (disorder),Diabetes Type Two,,['Manchester'],diabetes-type-ii.snomed.txt
69,237604008,356085010,800,C10D-1,C10D.11,Maturity onset diabetes in youth type 2,356085010,NA,32,Diabetes mellitus autosomal dominant type II (disorder),Diabetes Type Two,,['Manchester'],diabetes-type-ii.snomed.txt
70,237604008,5109561000006119,40,^ESCTMA510956,NA,"Maturity onset diabetes of the young, type 2",2967875018,NA,32,Diabetes mellitus autosomal dominant type II (disorder),Diabetes Type Two,,['Manchester'],diabetes-type-ii.snomed.txt
71,237608006,2156000010,10,ESCTLI13,NA,"Lipodystrophy, partial, with Rieger anomaly, short stature, and insulinopenic diabetes mellitus",2156000010,NA,32,"Lipodystrophy, partial, with Rieger anomaly, short stature, and insulinopenic diabetes mellitus (disorder)",Diabetes,,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
72,237627000,5110001000006118,80,^ESCTPR511000,NA,Pregnancy and type 2 diabetes mellitus,2967837018,NA,32,Pregnancy and type 2 diabetes mellitus (disorder),Diabetes,,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
73,237627000,1988741000006117,200,L180B,NA,Pregnancy and non-insulin-dependent diabetes mellitus,356133011,NA,32,Pregnancy and type 2 diabetes mellitus (disorder),Diabetes,,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
74,24471000000103,8012061000006117,300,^ESCTTY801206,NA,Type 2 diabetic on insulin,2201341000000118,NA,31,Type 2 diabetes on insulin (finding),Diabetes Type Two,,['Manchester'],diabetes-type-ii.snomed.txt
